problem_id,problem_title,information,problem_answer_num,problem_submit_num,problem_answer_rate
1076,저항,,10917,28202,45.56
1077,넓이,스페셜 저지,108,774,20.769
1078,뒤집음,,99,1687,14.798
1079,마피아,,523,3591,20.664
1080,행렬,,6668,19934,41.834
1081,합,,777,3722,40.702
1082,방 번호,,1072,4639,30.524
1083,소트,,1562,8043,27.602
1084,방 번호 2,,63,789,13.208
1085,직사각형에서 탈출,,46795,82541,64.525
1086,박성원,,1622,8670,25.431
1087,쥐 잡기,스페셜 저지,242,1403,22.366
1088,케이크,스페셜 저지,157,827,34.354
1089,스타트링크 타워,스페셜 저지,623,3063,27.289
1090,체커,,180,667,41.667
1091,카드 섞기,,682,2283,45.497
1092,배,,4032,23281,23.934
1093,스티커 수집,,118,769,20.775
1094,막대기,,16669,26741,75.079
1095,마법의 구슬,,146,1367,17.036
1096,종이 접기,,61,391,30.049
1097,마법의 문자열,,273,808,45.882
1098,쌍둥이 마을,,38,429,17.195
1099,알 수 없는 문장,,464,2151,32.908
1100,하얀 칸,,14606,24020,71.426
1101,카드 정리 1,,119,494,34.294
1102,발전소,,2160,11951,25.254
1103,게임,,2904,18601,21.028
1104,패턴,,36,392,13.846
1105,팔,,2203,8434,31.643
1106,호텔,,2227,8551,34.683
1107,리모컨,,15977,93252,22.942
1108,검색 엔진,,245,1612,19.171
1109,섬,,148,956,23.125
1110,더하기 사이클,,96956,254985,46.683
1111,IQ Test,,1687,11461,19.496
1112,진법 변환,,281,867,42.576
1113,수영장 만들기,,1053,4182,36.36
1114,통나무 자르기,,664,4594,21.323
1115,순열,,159,656,47.605
1116,순열 2,,36,176,26.667
1117,색칠 1,,339,1554,30.458
1118,색칠 2,,13,27,59.091
1119,그래프,,68,380,21.795
1120,문자열,,8537,17646,57.031
1121,도형,,90,554,24.862
1122,뒤집기,,66,681,17.507
1123,셔플,,22,106,29.333
1124,언더프라임,,1365,4803,39.808
1125,바닥 장식,,27,322,13.99
1126,같은 탑,,1499,8140,26.061
1127,떡국,,47,135,54.023
1128,피보나치 냅색,,81,841,16.77
1129,키,,52,277,33.987
1130,종이 레이싱,,8,78,14.545
1131,숫자,,162,846,32.143
1132,합,,923,3641,31.795
1133,반복되지 않는 단어,,35,213,39.773
1134,식,,26,247,14.773
1135,뉴스 전하기,,1254,3399,45.917
1136,조각 놓기,,20,168,16.26
1137,로봇 레이스,,12,35,54.545
1138,한 줄로 서기,,5705,11653,59.489
1139,울타리,스페셜 저지,73,327,43.713
1140,요금,,27,881,16.168
1141,접두사,,1123,2703,51.991
1142,피자,,25,140,27.174
1143,경찰,스페셜 저지,37,242,28.03
1144,싼 비용,,107,645,29.972
1145,적어도 대부분의 배수,,5325,10183,61.875
1146,지그재그 서기,,497,1585,43.217
1147,BOJ 소풍,,29,167,33.721
1148,단어 만들기,다국어,258,938,40.187
1149,RGB거리,,40212,99016,53.796
1150,백업,,443,2874,25.846
1151,그림자,스페셜 저지,18,81,28.571
1152,단어의 개수,,82445,321789,32.6
1153,네 개의 소수,스페셜 저지,932,3057,39.846
1154,팀 편성,스페셜 저지,73,380,31.197
1155,변형 하노이,다국어,90,375,44.118
1156,장난감,다국어,19,158,27.941
1157,단어 공부,,74826,236146,39.623
1158,요세푸스 문제,,32084,91888,48.424
1159,농구 경기,다국어,8536,19076,52.336
1160,Random Number Generator,다국어,120,947,27.088
1161,버스,다국어,53,218,47.321
1162,도로포장,다국어,1837,13996,21.591
1163,증가하는 리스트,,10,90,16.393
1164,가리기,,26,515,13.333
1165,단어퍼즐,다국어,36,235,40.909
1166,선물,스페셜 저지,743,5031,20.57
1167,트리의 지름,,11303,43164,33.898
1168,요세푸스 문제 2,,1179,10996,31.77
1169,정사각형 진열,다국어,25,216,21.739
1170,선인장의 개수,,76,251,42.697
1171,사오정,다국어,13,54,32.5
1172,선인장 Automorphisms,,6,27,30.0
1173,운동,,2707,7491,42.456
1174,줄어드는 수,,1408,4235,41.706
1175,배달,,675,3121,28.565
1176,섞기,,164,508,40.0
1177,조쌤포스,다국어,57,309,22.093
1178,간선 추가,,86,662,30.496
1179,마지막 요세푸스 문제,,221,1039,38.038
1180,선인장의 지름,다국어,31,156,28.182
1181,단어 정렬,,45937,146745,40.378
1182,부분수열의 합,,20899,70118,43.969
1183,약속,,371,1307,37.857
1184,귀농,다국어,307,930,45.821
1185,유럽여행,다국어,477,950,64.898
1186,직사각형 색칠하기,,47,284,27.485
1187,숫자 놀이,스페셜 저지,157,673,39.055
1188,음식 평론가,다국어,2188,5711,48.343
1189,컴백홈,다국어,2000,4595,54.392
1190,골 세레모니,스페셜 저지,3,96,10.714
1191,게임,다국어,7,115,15.909
1192,장갑,스페셜 저지다국어,19,182,31.667
1193,분수찾기,,45422,105199,51.328
1194,"달이 차오른다, 가자.",,4171,15181,37.672
1195,킥다운,다국어,267,1226,31.486
1196,잭 바우어,스페셜 저지,54,1085,8.752
1197,최소 스패닝 트리,,16857,69326,40.813
1198,삼각형으로 자르기,스페셜 저지,476,1009,53.907
1199,오일러 회로,스페셜 저지,452,11134,12.323
1200,기상예측,다국어,81,229,52.258
1201,NMK,스페셜 저지,1283,5097,34.159
1202,보석 도둑,다국어,8905,54722,21.883
1203,게임,스페셜 저지,6,155,7.059
1204,팰린드롬의 개수,,42,186,61.765
1205,등수 구하기,,3205,16336,24.739
1206,사람의 수,,143,2145,12.918
1207,종이 자르기,,31,485,9.841
1208,부분수열의 합 2,,4081,23967,24.411
1209,단조수열 만들기,,189,766,36.138
1210,마피아,스페셜 저지다국어,319,1524,25.561
1211,보일의 법칙,,21,307,50.0
1212,8진수 2진수,,11718,42070,35.805
1213,팰린드롬 만들기,,6653,20278,41.048
1214,쿨한 물건 구매,,651,3993,20.919
1215,잘못 작성한 요세푸스 코드,다국어,150,1029,27.372
1217,하우스 M.D.,,151,476,45.619
1218,로봇,,25,110,43.86
1219,오민식의 고민,,1447,12220,17.206
1220,MEGACITY,다국어,31,370,18.023
1221,가까운 점,,16,481,5.594
1222,홍준 프로그래밍 대회,다국어,439,2519,24.134
1223,마법의 돌,다국어,2,83,12.5
1224,분수,,8,104,21.053
1225,이상한 곱셈,다국어,5112,16202,37.912
1226,국회,스페셜 저지다국어,199,821,32.358
1227,그녀의 마음,다국어,22,78,37.931
1228,전쟁,다국어,6,50,18.182
1229,육각수,,306,1022,43.528
1230,문자열 거리,,83,564,29.329
1231,주식왕 동호,다국어,129,954,27.505
1232,체스,,8,76,32.0
1233,주사위,다국어,2682,5623,54.479
1234,크리스마스 트리,,626,1737,46.751
1235,학생 번호,,1719,4244,48.601
1236,성 지키기,,4416,13166,41.696
1237,정ㅋ벅ㅋ,번외,17993,66527,31.726
1238,파티,다국어,12782,38103,47.975
1239,차트,,341,919,46.521
1240,노드사이의 거리,,2626,6459,52.976
1241,머리 톡톡,,360,1764,32.229
1242,소풍,,360,1738,30.981
1243,팰린드롬,,84,318,42.857
1244,스위치 켜고 끄기,,8103,50525,19.879
1245,농장 관리,다국어,942,2729,44.729
1246,온라인 판매,다국어,1864,4947,42.664
1247,부호,,3699,13092,36.813
1248,Guess,스페셜 저지다국어,2171,9227,35.855
1249,워드똑똑,,37,128,33.636
1250,색칠된 공들,,14,1763,2.071
1251,단어 나누기,,3297,9173,46.267
1252,이진수 덧셈,,3255,11378,34.314
1253,좋다,,4888,27028,24.128
1254,팰린드롬 만들기,,3304,9058,45.353
1255,전쟁 - 선전포고,,27,176,28.421
1256,사전,,3382,15364,30.785
1257,엄청난 부자,,66,721,30.415
1258,문제 할당,,148,381,65.198
1259,팰린드롬수,다국어,23979,47656,57.537
1260,DFS와 BFS,,53942,238741,36.906
1261,알고스팟,,10386,35357,42.02
1262,알파벳 다이아몬드,다국어,171,640,33.333
1263,시간 관리,,890,2606,41.569
1264,모음의 개수,다국어,8154,16861,55.991
1265,순열,,40,173,33.898
1266,일어나!,,3,1482,11.111
1267,핸드폰 요금,,7894,18733,48.246
1268,임시 반장 정하기,,2566,10409,31.671
1269,대칭 차집합,,11359,21704,63.793
1270,전쟁 - 땅따먹기,,560,3224,28.881
1271,엄청난 부자2,,14822,60328,34.248
1272,특별 노드,,27,91,42.188
1273,샷,다국어,125,687,30.788
1274,커피숍1,,25,1296,7.31
1275,커피숍2,,3841,16405,30.268
1276,PLATFORME,다국어,183,519,43.262
1277,발전소 설치,다국어,215,1065,27.112
1278,연극,스페셜 저지,61,175,58.654
1279,내멋대로 주사위,,28,91,39.437
1280,나무 심기,,1176,9911,17.743
1281,보석상,,36,131,48.649
1282,P-수열,,27,154,27.0
1283,단축키 지정,다국어,897,3198,37.097
1284,집 주소,다국어,4065,6096,73.309
1285,동전 뒤집기,,1425,4930,45.909
1286,부분 직사각형,,87,167,60.417
1287,할 수 있다,,55,3419,7.857
1288,전쟁 - 국지전,,6,16,42.857
1289,트리의 가중치,다국어,701,2986,31.491
1290,배럭,,26,376,20.968
1291,이면수와 임현수,,131,609,24.811
1292,쉽게 푸는 문제,,13605,28416,56.808
1293,생물농축,,22,97,37.288
1294,문자열 장식,,243,1736,20.403
1295,평면도,,4,87,6.897
1296,팀 이름 정하기,,1689,4445,46.735
1297,TV 크기,,6060,11404,59.953
1298,노트북의 주인을 찾아서,,1716,4815,48.447
1299,전쟁 - 탈출편2,,8,231,11.94
1300,K번째 수,,9313,34860,37.46
1301,비즈 공예,,281,1431,30.51
1302,베스트셀러,,8944,20571,52.519
1303,전쟁 - 전투,,3947,12815,37.915
1304,지역,,65,249,34.031
1305,광고,,2696,6421,55.043
1306,달려라 홍준,,890,2661,44.016
1307,마방진,스페셜 저지,136,794,35.979
1308,D-Day,,1020,6677,21.447
1309,동물원,,11661,29928,47.325
1310,달리기 코스,,307,847,49.919
1311,할 일 정하기 1,,1124,3562,43.016
1312,소수,,3174,12139,34.325
1314,동굴 탐험,,20,170,13.423
1315,RPG,,653,4109,24.114
1316,그룹 단어 체커,,57079,132600,52.57
1317,그룹 단어,,13,181,15.294
1318,포커,,71,328,32.719
1319,지민 vs 한수,,13,59,30.233
1321,군인,,677,1805,52.481
1322,X와 K,,651,2082,40.918
1323,숫자 연결하기,,334,2122,25.265
1324,젠장,,60,420,21.978
1325,효율적인 해킹,다국어,8458,67738,19.585
1326,폴짝폴짝,,819,4529,24.514
1327,소트 게임,,860,2904,40.624
1328,고층 빌딩,,2439,8702,35.905
1329,증가 수열,다국어,15,149,14.423
1330,두 수 비교하기,,148356,372941,49.62
1331,나이트 투어,,1869,7212,32.02
1332,풀자,,50,393,19.763
1333,부재중 전화,,1408,6440,30.047
1334,다음 팰린드롬 수,,469,3893,20.854
1335,여섯 쌍 서로소,,5,52,17.241
1336,수열의 개수 NKD,,13,106,19.403
1337,올바른 배열,,1205,3663,43.314
1338,알 수 없는 번호,,120,2695,9.098
1339,단어 수학,,10188,29451,45.363
1340,연도 진행바,스페셜 저지,728,1983,45.105
1341,사이좋은 형제,,135,900,21.193
1342,행운의 문자열,,1475,4892,41.702
1343,폴리오미노,,5152,11392,53.383
1344,축구,스페셜 저지,954,2090,61.036
1345,등차수열,스페셜 저지,51,554,14.206
1346,탑을 향해서,,28,140,31.461
1347,미로 만들기,,1320,2939,54.098
1348,주차장,,538,3195,24.212
1349,건축가의 나라,,3,6,50.0
1350,진짜 공간,,2615,8049,37.475
1351,무한 수열,,2804,8989,37.856
1352,문자열,,105,665,31.722
1353,합과 곱,,225,1633,20.053
1354,무한 수열 2,,601,1850,48.39
1355,구멍난 케이크 자르기,,44,280,20.755
1356,유진수,,2412,5916,47.128
1357,뒤집힌 덧셈,,8521,18833,52.199
1358,하키,,2551,4048,69.833
1359,복권,스페셜 저지,553,1876,41.485
1360,되돌리기,,278,1244,31.519
1361,두 스트링 마스크,,20,124,46.512
1362,펫,다국어,807,4056,24.961
1363,트리,,4,23,50.0
1364,울타리 치기,,80,518,29.304
1365,꼬인 전깃줄,,2550,5687,57.692
1366,기타 코드,,8,150,36.364
1367,타브 악보,,3,20,15.789
1368,물대기,다국어,943,2887,42.747
1369,배열값,,97,551,27.324
1370,전쟁 - 화계가 아닌 수계,,5,74,18.519
1371,가장 많은 글자,,3685,11527,39.98
1372,단어 합치기,,44,358,14.426
1373,2진수 8진수,,9611,29703,41.004
1374,강의실,,1577,4570,45.186
1375,나이,,45,608,16.129
1376,민식우선탐색,,108,1621,11.778
1377,버블 소트,,3187,13715,33.647
1378,증가 수열,,4,146,4.706
1379,강의실 2,스페셜 저지,329,1115,37.86
1380,귀걸이,다국어,868,2355,47.097
1381,요구르트의 유통기한,채점 준비 중,39,349,16.596
1384,메시지,다국어,471,1357,41.028
1385,벌집,스페셜 저지,108,603,24.601
1386,f와 g,,2,125,4.255
1387,행렬 교환,,8,57,40.0
1388,바닥 장식,,2686,4910,68.017
1389,케빈 베이컨의 6단계 법칙,,14232,32364,56.054
1390,테트리스,,74,255,46.541
1391,종이접기,,47,261,50.0
1392,노래 악보,다국어,1092,1630,76.204
1393,음하철도 구구팔,,379,1890,27.504
1394,암호,,242,1567,23.725
1395,스위치,다국어,2059,7029,41.279
1396,크루스칼의 공,,496,2444,32.482
1397,인화철도 구구칠,,5,175,5.376
1398,동전 문제,,636,3418,27.449
1399,보물의 위치,,116,838,22.568
1400,화물차,다국어,156,925,24.149
1401,요컨대 형택이의 사탕봉지,,8,18,72.727
1402,아무래도이문제는A번난이도인것같다,,2361,6112,47.639
1404,토너먼트 승자,스페셜 저지,84,186,64.615
1405,미친 로봇,스페셜 저지,3082,10191,39.912
1406,에디터,다국어,18489,99987,26.523
1407,2로 몇 번 나누어질까,다국어,689,2475,42.012
1408,24,,4270,11052,45.978
1409,점 칠하기,,27,202,22.314
1410,패턴의 개수,,80,380,33.898
1411,비슷한 단어,,577,1214,60.167
1412,일방통행,,214,573,44.124
1413,박스 안의 열쇠,,413,1223,43.983
1414,불우이웃돕기,,755,2167,42.898
1415,사탕,,407,3685,16.715
1416,팬 서비스,,64,186,40.252
1417,국회의원 선거,,3604,10467,41.307
1418,K-세준수,,687,1780,49.496
1419,등차수열의 합,,205,1324,20.645
1420,학교 가지마!,,765,4308,23.524
1421,나무꾼 이다솜,,356,2350,22.546
1422,숫자의 신,,1102,5480,26.754
1423,원숭이 키우기,,64,325,29.224
1424,새 앨범,,75,986,19.084
1425,원숭이 땅을 옮기다,,53,329,23.451
1426,카드 넣기,,13,100,31.707
1427,소트인사이드,,42707,79228,65.171
1428,다각형의 개수,,7,70,15.909
1429,결혼,,15,102,34.091
1430,공격,스페셜 저지,123,506,38.679
1431,시리얼 번호,,5833,13203,55.722
1432,그래프 수정,,187,947,27.101
1433,화학 실험,스페셜 저지,18,153,18.557
1434,책 정리,,944,1613,69.565
1435,네 점,,20,343,9.479
1436,영화감독 숌,,36240,80465,55.516
1437,수 분해,,390,1205,39.474
1438,가장 작은 직사각형,,86,455,33.333
1439,뒤집기,,12258,27986,55.358
1440,타임머신,,497,1361,45.059
1441,나누어 질까,,148,626,32.385
1442,멋진 수,,40,221,45.455
1443,망가진 계산기,,167,650,34.292
1444,숌 언어,,51,294,31.288
1445,일요일 아침의 데이트,,709,3788,24.448
1446,지름길,,2732,6780,52.711
1447,보호 천막,,2,9,25.0
1448,삼각형 만들기,,2125,6266,43.805
1449,수리공 항승,,7427,18927,47.264
1450,냅색문제,,2006,7230,37.964
1451,직사각형으로 나누기,,1149,3808,40.273
1452,숌 크로스워드,,2,7,66.667
1453,피시방 알바,,5819,10825,61.349
1454,세비 게임,,4,59,17.391
1455,뒤집기 II,,349,743,60.172
1456,거의 소수,,1684,9838,24.202
1457,정확해,,52,172,42.623
1458,종이 겹치기,,4,28,30.769
1459,걷기,,1515,5874,32.567
1460,진욱이의 농장,,44,202,39.64
1461,도서관,,3270,8538,47.268
1462,퀴즈쇼,,84,341,31.579
1463,1로 만들기,,56116,262147,32.606
1464,뒤집기 3,,393,1413,38.492
1465,배열 고치기,,6,87,85.714
1466,그림 고치기,,14,52,40.0
1467,수 지우기,,137,1207,25.752
1468,네트워크,,6,48,50.0
1469,숌 사이 수열,,140,634,32.407
1470,올림픽 게임,,23,439,11.558
1471,사탕 돌리기,,122,392,50.413
1472,전화번호,,2,99,33.333
1473,미로 탈출,,73,820,20.222
1474,밑 줄,,236,743,43.542
1475,방 번호,,19222,57479,44.016
1476,날짜 계산,,18667,36030,66.294
1477,휴게소 세우기,,1566,8021,30.162
1478,정사각형,,5,27,38.462
1479,네 부분문자열,,43,234,32.331
1480,보석 모으기,,300,1117,37.221
1481,숌 사각형,,12,40,50.0
1482,같은 자리 수,,26,145,32.5
1483,저항,,2,29,28.571
1484,다이어트,,1829,6118,36.304
1485,정사각형,,1634,6663,31.685
1486,등산,,674,4163,22.956
1487,물건 팔기,,343,1144,42.189
1488,숌트링,,40,395,12.048
1489,대결,,175,629,37.961
1490,자리수로 나누기,,271,1094,32.033
1491,나선,,134,358,58.515
1492,합,,335,1210,44.43
1493,박스 채우기,,1107,5518,28.139
1494,절댓값 수열,,96,795,22.482
1495,기타리스트,,5504,18776,36.942
1496,기타 고르기,,4,24,26.667
1497,기타콘서트,,336,1349,31.082
1498,주기문,,148,440,47.896
1499,뒤집기 수열,,20,212,20.202
1500,최대 곱,,1348,2700,59.383
1501,영어 읽기,,236,1702,19.472
1502,숫자 퍼즐 ≤ 8,스페셜 저지,55,445,20.37
1503,세 수 고르기,,256,1736,20.629
1504,특정한 최단 경로,,12365,70654,24.531
1505,불 켜기,,53,225,32.919
1506,경찰서,,521,1144,55.308
1507,궁금한 민호,,2302,5515,51.847
1508,레이스,,292,1247,31.67
1509,팰린드롬 분할,,3401,9933,46.852
1510,이등변 삼각형,,10,53,41.667
1511,숫자 만들기,,41,300,26.115
1512,주기문으로 바꾸기,,73,390,38.624
1513,경로 찾기,,545,3143,28.078
1514,자물쇠,,550,4100,22.784
1515,수 이어 쓰기,,534,1608,43.415
1516,게임 개발,,6692,17742,48.666
1517,버블 소트,,4712,25778,29.639
1518,뉴 매직 스퀘어,,13,100,32.5
1519,부분 문자열 뽑기 게임,,135,309,60.0
1520,내리막 길,,14343,71517,28.06
1521,랜덤 소트,스페셜 저지,109,267,59.239
1522,문자열 교환,,580,1342,54.409
1523,종점,,42,160,33.871
1524,세준세비,,591,1741,48.206
1525,퍼즐,,4358,16109,41.968
1526,가장 큰 금민수,,3396,6990,60.948
1527,금민수의 개수,,1190,3702,39.96
1528,금민수의 합,,201,1152,27.955
1529,동민 수열,,63,291,27.876
1530,금민수의 합,,14,156,25.455
1531,투명,,1326,2154,67.653
1532,동전 교환,,52,538,20.233
1533,길의 개수,,723,2345,37.853
1534,다각형 자르기,,8,18,50.0
1535,안녕,,3318,8500,53.934
1536,"Dance, Dance",,26,175,20.8
1537,새로운 연산자,,10,102,25.641
1538,공 칠하기,스페셜 저지,11,31,40.741
1539,이진 검색 트리,,244,1449,33.795
1540,정사각형의 개수,,97,220,54.19
1541,잃어버린 괄호,,29846,71215,52.652
1542,체스 연습,,31,122,36.471
1543,문서 검색,,7599,21918,43.025
1544,사이클 단어,,811,1985,54.76
1545,안티 팰린드롬,,119,656,30.435
1546,평균,스페셜 저지,95042,232047,49.591
1547,공,,8671,13321,73.34
1548,부분 삼각 수열,,278,852,40.466
1549,K,,78,390,27.957
1550,16진수,,14776,25840,64.875
1551,수열의 변화,,2316,4658,57.886
1552,도미노,,14,51,70.0
1553,도미노 찾기,,105,203,67.308
1554,나무 심기,,8,33,29.63
1555,소수 만들기,,91,789,17.5
1556,도미노2,,4,30,28.571
1557,제곱 ㄴㄴ,,1170,4745,36.943
1558,그림의 개수,,6,27,35.294
1559,놀라운 미로,다국어,59,504,19.667
1560,비숍,,326,1095,39.089
1561,놀이 공원,다국어,1852,10184,25.366
1562,계단 수,,3853,10032,50.143
1563,개근상,,1522,4043,50.937
1564,팩토리얼5,,980,8255,18.67
1565,수학,,224,1207,25.197
1566,P배열,,57,358,34.337
1567,모든 사이클의 길이,,3,21,27.273
1568,새,,4340,6642,75.715
1569,정사각형으로 가리기,,61,437,24.498
1570,오세준,,38,337,13.768
1571,단어 굴리기,,27,101,49.091
1572,중앙값,,1165,5161,36.282
1573,트리 인코딩,,33,122,37.931
1574,룩 어택,,384,977,47.407
1575,졸업,,34,344,24.46
1576,DNA점수,스페셜 저지,28,130,28.0
1577,도로의 개수,,839,3668,30.234
1578,세계 정복,,18,60,56.25
1579,보물 찾기,,5,42,31.25
1580,위치 바꾸기,,61,232,34.857
1581,락스타 락동호,,210,788,30.792
1582,아티스트 이동호,,38,194,28.571
1583,이동호의 트럭,,4,42,25.0
1584,게임,,331,1272,37.959
1585,경찰,,201,676,34.775
1586,목장,,5,23,25.0
1587,이분 매칭,,147,411,47.267
1588,수열,,107,607,31.471
1589,레이저,,2,18,11.111
1590,캠프가는 영식,,463,2037,34.322
1591,수열 복원,스페셜 저지,105,1655,12.295
1592,영식이와 친구들,,3086,5187,68.019
1593,문자 해독,다국어,614,2839,34.436
1594,전화번호 만들기,,47,234,29.56
1595,북쪽나라의 도로,다국어,236,909,34.503
1596,영식함수,,10,368,38.462
1597,아스키 아트,다국어,3,10,100.0
1598,꼬리를 무는 숫자 나열,,3462,8757,45.231
1599,민식어,,325,975,45.139
1600,말이 되고픈 원숭이,,7300,52084,19.99
1601,바이너리 파워 비숍,스페셜 저지,32,194,32.0
1602,도망자 원숭이,,354,1993,26.164
1603,작은 정사각형,,75,394,28.09
1604,정사각형 자르기,,81,537,23.209
1605,반복 부분문자열,,678,3141,43.075
1606,침투 계획 세우기,,114,402,41.758
1607,원숭이 타워,,64,267,34.225
1608,스타 대회,다국어,30,347,15.306
1609,차의 공격,다국어,23,99,37.705
1610,프로게이머 영식,,3,148,18.75
1611,강강술래,스페셜 저지,8,29,53.333
1612,가지고 노는 1,,411,1396,37.569
1613,역사,,3358,14452,33.766
1614,영식이의 손가락,,884,3721,31.787
1615,교차개수세기,,474,4834,18.795
1616,드럼통 메시지,스페셜 저지,83,831,13.81
1617,허후민,,14,53,58.333
1618,구역 나누기,스페셜 저지,3,26,42.857
1619,점 고르기,,19,102,35.185
1620,나는야 포켓몬 마스터 이다솜,,21398,80948,33.924
1621,조삼모사,스페셜 저지,31,204,22.464
1622,공통 순열,다국어,297,1765,24.186
1623,신년 파티,스페셜 저지,116,569,34.524
1624,데크 소트,,76,537,28.358
1625,조명기구,스페셜 저지,3,144,8.824
1626,두 번째로 작은 스패닝 트리,,568,7667,14.315
1627,결투,,47,349,22.927
1628,수,다국어,69,274,49.286
1629,곱셈,,19642,97396,26.649
1630,오민식,,281,934,40.548
1631,오영식의 보물,,16,153,14.815
1632,Line Fighter,,5,94,15.152
1633,최고의 팀 만들기,다국어,636,2059,42.944
1634,완전 이진트리,,13,192,28.261
1635,1 또는 -1,스페셜 저지,37,142,61.667
1636,한번 열면 멈출 수 없어,스페셜 저지,59,308,28.23
1637,날카로운 눈,다국어,501,2545,29.821
1638,컨벡스 헐,,12,83,36.364
1639,행운의 티켓,,303,728,53.628
1640,동전 뒤집기,,123,377,51.25
1641,삼각형 개수 세기,,5,8,83.333
1642,딱따구리,다국어,15,117,19.481
1643,쿠폰,다국어,50,217,26.882
1644,소수의 연속합,다국어,11110,36951,41.449
1645,성지의 생일파티,,120,848,23.301
1646,피이보나치 트리,,106,350,43.621
1647,도시 분할 계획,,7214,22375,49.353
1648,격자판 채우기,,1084,2583,55.905
1649,택시,,82,471,23.907
1650,지민이의 테러 Season II,다국어,79,504,20.899
1651,숌 코드,,2,875,16.667
1652,누울 자리를 찾아라,,5721,16848,41.723
1653,양팔 저울,,123,635,28.211
1654,랜선 자르기,,28030,176908,21.176
1655,가운데를 말해요,,11768,53771,30.356
1656,덜컹덜컹,다국어,22,248,9.91
1657,두부장수 장홍준,,559,1514,50.27
1658,돼지 잡기,다국어,288,891,46.006
1659,수 (Hard),다국어,96,408,44.037
1660,캡틴 이다솜,,1425,5733,33.744
1661,다솜이의 신발가게,스페셜 저지,27,342,19.565
1662,압축,,1909,7313,35.529
1663,XYZ 문자열,,110,711,25.0
1664,주민등록번호,다국어,22,75,47.826
1665,화물열차,,108,722,29.752
1666,최대 증가 직사각형 집합,,155,780,25.748
1667,지민이의 테러 Season IV,다국어,48,287,23.881
1668,트로피 진열,,2847,6772,50.903
1669,멍멍이 쓰다듬기,,826,2896,37.007
1670,정상 회담 2,,968,3189,38.17
1671,상어의 저녁식사,,1701,7110,31.257
1672,DNA 해독,,1035,3322,45.455
1673,치킨 쿠폰,다국어,2273,10658,28.714
1674,성준이와 초콜릿,다국어,4,58,22.222
1675,팬더 밥주기,,6,80,10.909
1676,팩토리얼 0의 개수,,25393,63635,47.757
